,Number,Caption,Like,URL
14,15,"Photo by @gabrielegalimbertiphoto | This young pirate is Mikel, 3, in Bergen, Norway, photographed for my Toy Stories project. Wherever I travel in the world, I take portraits of children with their favorite toys. I've visited over 60 countries, where I've recorded the genuine joy that unites kids despite their diverse backgrounds. Whether the child owns a veritable fleet of miniature cars or a single stuffed monkey, the pride they have is moving, funny, and thought-provoking. Follow me @gabrielegalimbertiphoto for more photos and stories. #toys #child #kid #toy #toystories #play",60925,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309440698_128606196606965_8456692834161411545_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=4HgKx--uxEUAX_kfHzw&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCkf-gx4TPK5Sun7FD74mRRFwYLit4xUgSV2sTmjAvhXA&oe=65D63CEE&_nc_sid=bc0c2c
15,16,"Photo by @nataliekeyssar | Adeline Victor poses for a portrait at a photo booth on Queens Plaza. It was for a National Geographic story on the New York City borough of Queens, one of the most diverse and vibrant communities in the world where over 300 languages are spoken.",83528,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310088099_179770211295656_695088873736102108_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FnOSdi0_NHgAX_zIZ-W&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCPS_99GkRX_HzaWQjgYtdd0mwie_i9-qxVb-6vdYJ8pA&oe=65D68E78&_nc_sid=bc0c2c
16,17,"Read the full story at the link in bio.

Some 400,000 specimens from German citizens, collected over four decades and stored in an old military bunker, trace the rise—and sometimes the fall—of chemical pollutants in an industrial country.

Photo by @estherhorvath",97773,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310573095_1158134498160715_2778548156251617515_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=7wu_01Xhz2UAX8HthSi&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBxDOcyp7mpUyEZ50hHGMqoG2-SZkfofaa73Hc9dz-UeQ&oe=65D6F0A3&_nc_sid=bc0c2c
17,18,"Photo by Charlie Hamilton James @chamiltonjames | A spotted hyena shows off her extraordinary dentition on the plains of Kenya’s Masai Mara. Hyenas have an extremely powerful bite force, allowing them to crunch through thick bones to get to the marrow within—why their poop is often white. Despite their reputation as scavengers, they are also efficient hunters, working alone to run down prey or together as a pack. The big cats that hyenas share the plains with—the lions, leopards, and cheetahs—rely on ambush and short bursts of speed. Hyenas use stamina to bring down prey, chasing animals down until they tire.",677180,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310280850_5436718019779535_3533118752038221325_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Z9RmHawcDQgAX9HQ4So&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC51mx8X-OBysoK7RZw0OxsOPXHLdtAqeqju6DyVjEVtw&oe=65D69B02&_nc_sid=bc0c2c
18,19,"Photo by @stevewinterphoto | Happy World Animal Day! Jaguars have rebounded in the Brazilian Pantanal, where 95% of the land is privately owned. In the past, many ranchers would kill the cats when they ate their cattle, but jaguars may be worth far more alive than dead. In a paper published by the journal Global Ecology and Conservation, @pantheracats biologist Fernando Tortato found that a cow in the Pantanal is worth $2,000 in its lifetime, but a jaguar in this area brings in $108,000 each year in ecotourism income.

The Pantanal is a shining example of big-cat and other wildlife tourism as one of the most profitable land-use types on Earth. This is all the more important in world so fixated on beef production and agriculture that clear forests and release carbon into the atmosphere. Local people need to benefit from living with predators, not killing them and selling their parts. A sustainable future includes people living with wildlife and an intact healthy ecosystem. Think of all the people in an area that work in ecotourism—running the lodges, driving the boats, guiding the tourists—and the families their income supports. If you save the top predator in any ecosystem, you save everything under it.

Check out National Geographic’s campaign for nature at the link in bio, which advocates for the protection of 30% of Earth’s terrestrial land surface by 2030, and follow me @stevewinterphoto for more shots of big cats. #jaguar #jaguars #coexistence #wildlifephotography #beauty #pantanal #brazil #wilderness #wild #conservation #jungle #forest",467914,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310563739_390289106652453_2470906459094250710_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=-uh1YRKh154AX-y9h-f&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBzj01MOcVMBx3ZRw4eHRwx5RcWgl4u4TKm3aHYqqu3Gg&oe=65D8142D&_nc_sid=bc0c2c
19,20,"Photo by @amivitale | Happy World Animal Day! Head rhino keeper Zacharia Mutai relaxes with Najin, one of the last two northern white rhinos on the planet. Zacharia, with Najin's other keepers, has had a front-row seat as the Biorescue Project works at @olpejeta conservancy in northern Kenya to restore this iconic species. 

Despite tremendous pressures on rhinos around the world, we have reason to celebrate. In September, the Biorescue Project announced the creation of five northern white rhino embryos, bringing the total to 22. This nourishes hope to produce offspring and give this keystone species a new future. Follow @amivitale @biorescue_project and @olpejeta, to learn more including how to help. 

@leibnizizw @OlPejeta conservancy @safariparkdvurkralove @kenyawildlifeservice @WRTIKenya @MinistryOfTourismAndWildlifeKE #rhinos #worldrhinoday #conservation #kenya #extinction",294895,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310812092_166174289401343_583900770773031586_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=gyQ8k5_K-8AAX_-M6uf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBPnwx8GqM3TQfNcUwTAQ-NlumDwG8E9UZAoQyumcr35A&oe=65D66407&_nc_sid=bc0c2c
20,21,"Read the full story at the link in bio. 

Rats show kindness, orcas mourn their dead, and monkeys protest injustice. Scientists are learning that other species also have complex emotions. #WorldAnimalDay

Photo by Vincent Lagrange",450431,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310395407_815334919650340_5427023948655912905_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=bKZYU_L4AKoAX_UBZMM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBbXc9NPYFeVnwc7eMDx266ZdxqItERaONq5pQkAQ36vQ&oe=65D7FC6A&_nc_sid=bc0c2c
21,22,"Photo by @joelsartore | This Carolina wren looked even rougher around the edges when it was first brought to Wild Bird Rehabilitation Inc. in St. Louis, Missouri. The reason for its disheveled appearance? It was caught in fly paper, a common death trap for songbirds, along with the sticky traps used for mice and insects. Please consider avoiding these devices in areas where songbirds are present. To see more species featured in the Photo Ark follow me, @joelsartore. #bird #wren #carolina #animal #wildlife #rehab #wildliferehab #photography #animalphotography #wildlifephotography #studioportrait #saveourwildlife #PhotoArk",80218,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310432062_1910741519129228_2432723378500053827_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=s4r3encgIewAX8me6nA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-ho0oY2ZbBERp8C4lEsZLQqv-5T-ps56WM3Ds910C4A&oe=65D7A5BD&_nc_sid=bc0c2c
22,23,"Photo by Keith Ladzinski @ladzinski | A giant sequoia, roughly 300 feet (90m) tall, towers over the surrounding white fir trees in California's Sequoia National Park. These giants are endemic to a small part of the Sierra Nevada, where they drink upwards of 500 gallons per day and can live well over 3,000 years. As resilient as they are, each year they're increasingly threatened by wildfires. I photographed this beautiful tree under cloudy midnight skies filled with much needed rain. To see more photographs, please visit @ladzinski.",656503,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310507859_213735734340686_2473593842360512205_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ed_z5CkG0ssAX-4upWm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDA58etNNkp-1ELOKmxX-PFHHwVud_HrY-nZHMUW7t3sg&oe=65D79134&_nc_sid=bc0c2c
23,24,"Photo by @rubensalgadoescudero | Butcher Mugerwa Lawrence, 50, works in his small shop until 1 a.m. in Kalagala, Uganda, where just 38% of the population has access to grid electricity. Solar power allows him to work longer hours and during the evening, when the temperature is more comfortable and he can see more clients. This image is part of my Solar Portraits project, which focuses on electricity access and the impact of solar power in communities around the world. Follow me on @rubensalgadoescudero to see the world through my lens. #solar #Uganda #solarportraits #solarpanels #solarpower #butcher",67241,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310529541_840296536980796_576831419479073130_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=o0YrnfiUr5IAX-S1thL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmP6xk_KHZm6WgZ3mrRvFe5qFcjQt6_oVSsGDPRRNM9g&oe=65D7B83D&_nc_sid=bc0c2c
24,25,"Photo by Prasenjeet Yadav @prasen.yadav | A snow leopard locks eyes with a camera trap while making a scrape mark, a communication tool among the cats. Snow leopards scrape their back legs in loose soil, leaving a small depression with a mound of soil adjacent. Along with field researchers of @snowleopardtrust, I scouted the Himalaya mountains looking for  locations to set up camera traps. These scrapes as well as urine spray marks were good signs of how frequently the snow leopards visit a particular location. On average, snow leopards visit this ridge once a month. Follow me @prasen.yadav for more photos from India.",438909,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310432488_604143268167806_7709198506563618840_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=GFDLxzl_wFQAX9_zwE6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAtd73FTWk0rnDA9ijjWu3we_-AB-k_faVRVxcZFgMCOw&oe=65D7B8F5&_nc_sid=bc0c2c
25,26,"Photo by @nataliekeyssar | Danny Verdugo and Nayeli Uguna pose for a portrait in Flushing Meadows Park, in Queens. The image was taken at a photo booth on Roosevelt Avenue, the main thoroughfare in Queens, a borough of New York City and  one of the world's most diverse and vibrant communities where over 300 languages are spoken.",140174,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310735027_1064379777597602_2701519191085683279_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=AsCWQ3xMzfsAX9KS-SK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrlDtOHWm3HZ5DjCFqVn19TX-dnngkAc36AGIdxDgfIw&oe=65D6F918&_nc_sid=bc0c2c
26,27,"Photo by Orsolya Haarberg @fjellheimengalleri | A high-altitude view of northern Sweden’s Sarek National Park shows mountain hills and valleys covered with birches. These trees are scraggly, crooked, and extremely hardy. In September, when the first frosts arrive, the forest seems to be on fire with bright colors from the tree leaves. But overnight a storm can blow them away, leaving the woods naked and gray. Please follow @fjellheimengalleri for more images, primarily from the Nordic countries. #sarek #rapadelta #nammatj #landscapephotography #autumn #sweden #birchforest",171181,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310643854_1060403311308306_2697810430731593925_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=I-FhEOShARoAX90T-Cy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXR6UR4R1652YKmHEvdCWW0iLoV42gJw8G8tfjN3NX5g&oe=65D6A6FE&_nc_sid=bc0c2c
27,28,"Read the full story at the link in bio.

Centuries after a noblewoman lived and died in Peru, scientists have reconstructed her face in stunning 3-D.

Photograph by Oscar Nilsson",328689,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310809651_117523647774497_4007277434634132015_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=bQnLltknQAEAX9d113n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAm_NNs7pFXpI2sV5_q4Ujxi3DnWOR1G8MCgdS0wLzEJA&oe=65D7E8F4&_nc_sid=bc0c2c
28,29,"Photo by Robbie Shone @shonephoto | In a place known as Secret Chamber within the Cave of the Winds, in Gunung Mulu National Park on Malaysian Borneo, scientists Stacy Carolin and Stein-Erik Lauritzen install a drip logger. The device will remain here for several years, collecting and recording every drip that falls from the stalactite above, which in turn is related to how the stalagmite grows below. It's part of a project to reconstruct the ancient tropical climate.",59915,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310817269_634972441619377_4965475106529491766_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=0JGpa1K1Z6sAX9M_qN6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA1zR9ee96ckp3qDMLu02018n9agitHe6MjEIAl1DUvfQ&oe=65D62FAC&_nc_sid=bc0c2c
29,30,"Photo by @beverlyjoubert | So much curiosity and wide-eyed wonder in that feline face. And yet the wilderness that stands to be explored and ruled over by these top predators shrinks with every passing year. Africa’s lions have been eradicated from 90% of their historic range due to poaching, habitat loss, and conflict with humans. In the pockets of sub-Saharan Africa where they still maintain strongholds, their future is increasingly uncertain. Protecting and expanding space for lions to roam safely has been at the heart of my conservation work for decades. It’s simply impossible to imagine an Africa without them. 
#lions #bigcatconservation #wildlife #bigcatsofinstagram",145511,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310923045_491393446227755_41954657672181842_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1Cqc5ZWreksAX8SvF8N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwKPM-nOOGOW2g60v7CMee-ZKaGL_6u81t6rn1zPbROg&oe=65D72872&_nc_sid=bc0c2c
30,31,"Photo by @gabrielegalimbertiphoto | This is Naya, 3, in Cahuita, Costa Rica. Wherever I travel in the world, I take portraits of children with their favorite playthings for my ongoing Toy Stories project. In visiting over 60 countries, I've recorded the genuine joy that unites kids despite their diverse backgrounds. Whether the child owns a veritable fleet of miniature cars or a single stuffed monkey, the pride they have is moving, funny, and thought-provoking. Follow me @gabrielegalimbertiphoto for more photos and stories. #toys #child #kid #toy #toystories #play",88103,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310807420_1055251835152540_504118907383058352_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ZbSs32U4vwgAX-ewLaa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDFTxHHgsqUOA7d_EwXq057mndevG1mux5zuTl5OOAJFQ&oe=65D6CC7B&_nc_sid=bc0c2c
31,32,"Photo by Charlie Hamilton James @chamiltonjames | The sun rises over the London skyline, as seen from a rooftop in the Mayfair district. While London may have fewer skyscrapers than other global cities, its skyline is iconic. This view (at right) shows the London Eye, a tourist attraction by the River Thames, and the Shard, a contemporary, 72-story building.",168335,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/311021696_225877043097030_4064335635555376980_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=6lCOy5izJe0AX8HxGZb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBf-l79lbsBDlrbMF_iGajDKB35-eeAe2822sc9jKhcvw&oe=65D683E6&_nc_sid=bc0c2c
32,33,"Photo by @estherhorvath | Biologist Nicole Ottawa and photographer Oliver Meckes, along with ranger Charly Ebel (in green), collect moss, slime mold, and other organisms from dead wood in the “core zone” of Germany’s Black Forest National Park. The samples are then photographed using a scanning electron microscope in Ottawa and Meckes’s lab, part of their Eye of Science project. Please follow @estherhorvath for more stories. This photo was taken on assignment for National Geographic’s September issue: “Meet the marvelous creatures that bring soil to life.”",79096,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/311278917_2358353867647318_6772114257851391516_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=2acHUmvuzf0AX_pupLu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB--JQnR4NuXdGP4p0EEA6n7WBa0QRp48ecGx6K-eRp9Q&oe=65D7108E&_nc_sid=bc0c2c
